x,0,pi_2,pi,2pi
723,63,57,55,45
724,64,59,54,44
725,63,58,55,46
726,56,54,53,44
727,56,51,49,44
728,54,51,42,43
729,55,54,43,44
730,55,55,47,46
731,53,55,49,45
732,49,57,46,48
733,54,59,50,50
734,54,58,49,47
735,54,59,49,42
736,55,59,55,45
737,53,59,53,46
738,59,65,54,47
739,57,60,54,48
740,58,61,59,51
741,63,63,57,49
742,61,57,49,45
743,62,59,52,46
744,62,56,47,43
745,63,54,47,41
746,62,56,45,41
747,66,61,42,46
748,69,61,42,43
749,66,59,39,36
750,67,60,37,35
751,68,61,45,39
752,70,62,45,38
753,70,60,43,35
754,71,60,46,38
755,71,60,43,39
756,73,64,40,39
757,75,62,33,37
758,78,65,36,40
759,83,67,36,41
760,87,67,37,39
761,90,70,40,41
762,91,70,42,43
763,90,71,42,42
764,93,71,43,42
765,96,73,42,41
766,103,78,45,45
767,102,76,42,40
768,104,76,42,42
769,104,77,48,46
770,99,76,45,43
771,95,74,43,43
772,92,75,48,44
773,86,72,44,40
774,83,72,44,38
775,83,70,44,35
776,79,70,45,35
777,75,65,44,36
778,74,66,49,38
779,73,64,49,40
780,68,62,47,42
781,68,60,46,39
782,64,57,45,38
783,64,59,47,40
784,64,56,46,41
785,61,54,45,41
786,64,55,48,41
787,57,54,47,39
788,60,57,50,42
789,59,56,52,44
790,53,51,50,42
791,53,49,46,40
792,52,48,40,41
793,50,49,41,42
794,51,50,45,43
795,49,49,45,43
796,44,50,41,45
797,49,52,46,49
798,50,50,45,47
799,47,49,45,42
800,49,50,49,43
801,47,48,49,43
802,53,54,51,45
803,49,47,51,46
804,51,49,52,48
805,56,52,52,46
806,53,45,44,42
807,54,45,46,43
808,55,43,43,41
809,57,41,42,38
810,58,45,43,40
811,62,50,41,46
812,65,52,43,45
813,61,48,38,37
814,61,49,36,35
815,60,50,41,38
816,61,51,41,37
817,61,50,42,34
818,62,50,42,35
819,62,51,41,37
820,65,56,39,36
821,65,54,31,34
822,69,57,34,37
823,73,59,34,39
824,77,60,34,36
825,80,64,37,39
826,80,64,38,40
827,80,63,41,39
828,82,62,41,38
829,84,64,40,37
830,91,69,44,41
831,91,67,43,38
832,91,67,41,39
833,92,70,46,42
834,87,68,45,38
835,85,67,44,39
836,83,67,49,40
837,78,66,46,38
838,78,66,47,37
839,76,66,47,35
840,72,66,48,36
841,69,60,47,37
842,67,61,51,40
843,67,61,52,42
844,61,57,48,41
845,60,56,47,40
846,58,56,46,39
847,60,58,49,43
848,58,55,47,42
849,56,55,45,42
850,59,55,46,40
851,51,53,46,39
852,55,54,47,42
853,55,55,52,45
854,49,51,50,42
855,49,49,47,40
856,48,48,42,41
857,46,49,42,42
858,49,50,46,43
859,47,49,46,42
860,44,50,42,43
861,46,49,44,44
862,48,49,44,43
863,46,48,45,41
864,48,47,48,43
865,46,45,47,43
866,52,51,50,46
867,50,47,49,45
868,51,48,50,46
869,53,49,48,43
870,51,42,42,40
871,52,43,45,43
872,52,41,41,41
873,52,39,39,38
874,55,44,41,41
875,57,45,41,42
876,58,45,41,41
877,55,40,35,34
878,57,44,34,32
879,57,44,38,34
880,56,44,37,33
881,57,43,38,32
882,59,43,38,32
883,60,46,37,33
884,64,52,35,34
885,63,50,28,31
886,66,52,32,32
887,68,52,32,33
888,72,53,31,31
889,74,56,33,32
890,74,56,33,33
891,74,55,35,32
892,76,53,35,31
893,77,54,33,29
894,83,58,37,33
895,85,59,39,34
896,86,60,38,36
897,87,63,43,39
898,81,61,41,34
899,80,60,40,35
900,80,61,45,38
901,76,62,44,38
902,78,64,46,39
903,78,64,46,38
904,73,64,46,38
905,70,57,44,37
906,68,56,47,40
907,70,59,50,43
908,65,57,49,44
909,64,57,49,42
910,63,58,49,42
911,64,60,51,46
912,59,56,47,43
913,57,56,45,42
914,60,55,47,41
915,51,52,45,37
916,53,53,46,41
917,54,53,49,43
918,47,48,47,39
919,46,46,43,36
920,47,46,38,37
921,42,45,37,37
922,44,45,40,36
923,43,44,41,38
924,38,44,36,36
925,40,43,39,39
926,42,43,39,40
