Nfa_NONE         Nfa_L2           Nfa_L1           Nfa_L1B          Nfa_LINF         Nmd_NONE         Nmd_L2           Nmd_L1           Nmd_L1B          Nmd_LINF         Pfa_NONE         Pfa_L2           Pfa_L1           Pfa_L1B          Pfa_LINF         Pmd_NONE         Pmd_L2           Pmd_L1           Pmd_L1B          Pmd_LINF         
0                0                0                0                0                320133           181330           75674            224376           173577           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.7118975        0.8791380        0.9711503        0.8714178        0.8723999        
0                0                0                0                0                303139           163577           61860            200552           157230           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.7422114        0.8954957        0.9773363        0.8914730        0.8881229        
0                0                0                0                0                284760           146362           50464            175858           143879           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.7706874        0.9101319        0.9823827        0.9090588        0.9025108        
0                0                0                0                0                265896           131187           40324            153731           129009           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.7972770        0.9232506        0.9864151        0.9244319        0.9154117        
0                0                0                0                0                245567           115609           31925            132782           115397           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.8218337        0.9348115        0.9896076        0.9377101        0.9269514        
0                0                0                0                0                225070           101365           25190            113292           102835           0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.8443407        0.9449480        0.9921266        0.9490393        0.9372349        
0                0                0                0                0                204940           88408            19593            96512            91264            0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.8648347        0.9537888        0.9940859        0.9586905        0.9463613        
0                0                0                0                0                186375           76249            15171            80190            80036            0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.8834722        0.9614137        0.9956030        0.9667095        0.9543649        
0                0                0                0                0                166288           65538            11612            67252            70132            0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9001010        0.9679675        0.9967642        0.9734347        0.9613781        
0                0                0                0                0                147802           56110            8646             55363            60527            0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9148812        0.9735785        0.9976288        0.9789710        0.9674308        
0                0                0                0                0                130796           47691            6544             45205            52642            0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9279608        0.9783476        0.9982832        0.9834915        0.9726950        
0                0                0                0                0                113985           39952            4805             36115            45437            0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9393593        0.9823428        0.9987637        0.9871030        0.9772387        
0                0                0                0                0                99132            33443            3610             29611            38622            0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9492725        0.9856871        0.9991247        0.9900641        0.9811009        
0                0                0                0                0                85882            27614            2633             23112            32926            0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9578607        0.9884485        0.9993880        0.9923753        0.9843935        
0                0                0                0                0                73203            23203            1924             18321            27756            0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9651810        0.9907688        0.9995804        0.9942074        0.9871691        
0                0                0                0                0                62212            18756            1281             13985            23440            0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9714022        0.9926444        0.9997085        0.9956059        0.9895131        
0                0                0                0                0                52519            15289            964              11191            19480            0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9766541        0.9941733        0.9998049        0.9967250        0.9914611        
0                0                0                0                0                44088            12254            657              8489             16296            0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9810629        0.9953987        0.9998706        0.9975739        0.9930907        
0                0                0                0                0                37069            9948             414              6464             13495            0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9847698        0.9963935        0.9999120        0.9982203        0.9944402        
0                0                0                0                0                30167            8134             277              4770             11042            0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9877865        0.9972069        0.9999397        0.9986973        0.9955444        
0                0                0                0                0                25110            6267             225              3657             9018             0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9902975        0.9978336        0.9999622        0.9990630        0.9964462        
0                0                0                0                0                20564            5055             151              2690             7460             0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9923539        0.9983391        0.9999773        0.9993320        0.9971922        
0                0                0                0                0                16275            3838             70               1945             5973             0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9939814        0.9987229        0.9999843        0.9995265        0.9977895        
0                0                0                0                0                13324            3127             56               1367             4825             0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9953138        0.9990356        0.9999899        0.9996632        0.9982720        
0                0                0                0                0                10557            2492             44               1032             3723             0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9963695        0.9992848        0.9999943        0.9997664        0.9986443        
0                0                0                0                0                8317             1736             20               714              3012             0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9972012        0.9994584        0.9999963        0.9998378        0.9989455        
0                0                0                0                0                6526             1373             13               482              2368             0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9978538        0.9995957        0.9999976        0.9998860        0.9991823        
0                0                0                0                0                5225             1076             7                356              1866             0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9983763        0.9997033        0.9999983        0.9999216        0.9993689        
0                0                0                0                0                3974             732              7                234              1428             0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9987737        0.9997765        0.9999990        0.9999450        0.9995117        
0                0                0                0                0                3065             583              5                167              1165             0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9990802        0.9998348        0.9999995        0.9999617        0.9996282        
0                0                0                0                0                2374             439              2                120              928              0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9993176        0.9998787        0.9999997        0.9999737        0.9997210        
0                0                0                0                0                1743             314              1                85               695              0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9994919        0.9999101        0.9999998        0.9999822        0.9997905        
0                0                0                0                0                1340             237              1                49               499              0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9996259        0.9999338        0.9999999        0.9999871        0.9998404        
0                0                0                0                0                995              180              0                50               404              0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9997254        0.9999518        0.9999999        0.9999921        0.9998808        
0                0                0                0                0                755              151              0                30               298              0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9998009        0.9999669        0.9999999        0.9999951        0.9999106        
0                0                0                0                0                521              95               1                20               244              0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9998530        0.9999764        1.0000000        0.9999971        0.9999350        
0                0                0                0                0                431              67               0                11               185              0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9998961        0.9999831        1.0000000        0.9999982        0.9999535        
0                0                0                0                0                301              44               0                6                122              0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9999262        0.9999875        1.0000000        0.9999988        0.9999657        
0                0                0                0                0                225              36               0                5                92               0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9999487        0.9999911        1.0000000        0.9999993        0.9999749        
0                0                0                0                0                138              23               0                6                66               0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9999625        0.9999934        1.0000000        0.9999999        0.9999815        
0                0                0                0                0                121              19               0                0                53               0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9999746        0.9999953        1.0000000        0.9999999        0.9999868        
0                0                0                0                0                91               18               0                0                36               0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9999837        0.9999971        1.0000000        0.9999999        0.9999904        
0                0                0                0                0                48               15               0                0                28               0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9999885        0.9999986        1.0000000        0.9999999        0.9999932        
0                0                0                0                0                46               2                0                1                18               0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9999931        0.9999988        1.0000000        1.0000000        0.9999950        
0                0                0                0                0                28               3                0                0                10               0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9999959        0.9999991        1.0000000        1.0000000        0.9999960        
0                0                0                0                0                17               2                0                0                7                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9999976        0.9999993        1.0000000        1.0000000        0.9999967        
0                0                0                0                0                7                4                0                0                8                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9999983        0.9999997        1.0000000        1.0000000        0.9999975        
0                0                0                0                0                5                1                0                0                8                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9999988        0.9999998        1.0000000        1.0000000        0.9999983        
0                0                0                0                0                3                0                0                0                6                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9999991        0.9999998        1.0000000        1.0000000        0.9999989        
0                0                0                0                0                5                1                0                0                4                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9999996        0.9999999        1.0000000        1.0000000        0.9999993        
0                0                0                0                0                0                1                0                0                1                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9999996        1.0000000        1.0000000        1.0000000        0.9999994        
0                0                0                0                0                3                0                0                0                2                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9999999        1.0000000        1.0000000        1.0000000        0.9999996        
0                0                0                0                0                1                0                0                0                4                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        1.0000000        1.0000000        1.0000000        1.0000000        1.0000000        
0                0                0                0                0                0                0                0                0                0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        1.0000000        1.0000000        1.0000000        1.0000000        1.0000000        
