edge             Nfa_NONE         Nfa_L2           Nfa_L1           Nfa_L1B          Nfa_LINF         Nmd_NONE         Nmd_L2           Nmd_L1           Nmd_L1B          Nmd_LINF         Pfa_NONE         Pfa_L2           Pfa_L1           Pfa_L1B          Pfa_LINF         Pmd_NONE         Pmd_L2           Pmd_L1           Pmd_L1B          Pmd_LINF         
36.20            0                0                0                0                0                42               22               5                3                0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9999938        0.9999938        0.9999984        0.9999990        1.0000000        
36.51            0                0                0                0                0                26               16               6                8                0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9999964        0.9999954        0.9999990        0.9999998        1.0000000        
36.83            0                0                0                0                0                16               18               5                1                0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9999980        0.9999972        0.9999995        0.9999999        1.0000000        
37.15            0                0                0                0                0                7                14               2                0                0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9999987        0.9999986        0.9999997        0.9999999        1.0000000        
37.46            0                0                0                0                0                4                2                1                0                0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9999991        0.9999988        0.9999998        0.9999999        1.0000000        
37.78            0                0                0                0                0                4                3                1                0                0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9999995        0.9999991        0.9999999        0.9999999        1.0000000        
38.10            0                0                0                0                0                1                3                0                1                0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9999996        0.9999994        0.9999999        1.0000000        1.0000000        
38.42            0                0                0                0                0                3                4                0                0                0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9999999        0.9999998        0.9999999        1.0000000        1.0000000        
38.73            0                0                0                0                0                0                0                0                0                0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        0.9999999        0.9999998        0.9999999        1.0000000        1.0000000        
39.05            0                0                0                0                0                1                1                1                0                0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        1.0000000        0.9999999        1.0000000        1.0000000        1.0000000        
39.37            0                0                0                0                0                0                0                0                0                0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        1.0000000        0.9999999        1.0000000        1.0000000        1.0000000        
39.68            0                0                0                0                0                0                1                0                0                0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        1.0000000        1.0000000        1.0000000        1.0000000        1.0000000        
40.00            0                0                0                0                0                0                0                0                0                0                0.0000000        0.0000000        0.0000000        0.0000000        0.0000000        1.0000000        1.0000000        1.0000000        1.0000000        1.0000000        
