edge             Nfa_NONE         Nfa_L2           Nfa_L1           Nfa_LINF         Nmd_NONE         Nmd_L2           Nmd_L1           Nmd_LINF         Pfa_NONE         Pfa_L2           Pfa_L1           Pfa_LINF         Pmd_NONE         Pmd_L2           Pmd_L1           Pmd_LINF         
35.75            0                0                0                0                59               33               16               0                0.0000000        0.0000000        0.0000000        0.0000000        0.9999846        0.9999920        0.9999965        1.0000000        
36.00            0                0                0                0                36               29               13               0                0.0000000        0.0000000        0.0000000        0.0000000        0.9999882        0.9999949        0.9999978        1.0000000        
36.25            0                0                0                0                33               12               6                0                0.0000000        0.0000000        0.0000000        0.0000000        0.9999915        0.9999961        0.9999984        1.0000000        
36.50            0                0                0                0                28               11               3                0                0.0000000        0.0000000        0.0000000        0.0000000        0.9999943        0.9999972        0.9999987        1.0000000        
36.75            0                0                0                0                10               4                3                0                0.0000000        0.0000000        0.0000000        0.0000000        0.9999953        0.9999976        0.9999990        1.0000000        
37.00            0                0                0                0                11               8                5                0                0.0000000        0.0000000        0.0000000        0.0000000        0.9999964        0.9999984        0.9999995        1.0000000        
37.25            0                0                0                0                7                3                2                0                0.0000000        0.0000000        0.0000000        0.0000000        0.9999971        0.9999987        0.9999997        1.0000000        
37.50            0                0                0                0                10               4                0                0                0.0000000        0.0000000        0.0000000        0.0000000        0.9999981        0.9999991        0.9999997        1.0000000        
37.75            0                0                0                0                8                3                1                0                0.0000000        0.0000000        0.0000000        0.0000000        0.9999989        0.9999994        0.9999998        1.0000000        
38.00            0                0                0                0                4                2                0                0                0.0000000        0.0000000        0.0000000        0.0000000        0.9999993        0.9999996        0.9999998        1.0000000        
38.25            0                0                0                0                0                2                1                0                0.0000000        0.0000000        0.0000000        0.0000000        0.9999993        0.9999998        0.9999999        1.0000000        
38.50            0                0                0                0                1                1                0                0                0.0000000        0.0000000        0.0000000        0.0000000        0.9999994        0.9999999        0.9999999        1.0000000        
38.75            0                0                0                0                2                1                1                0                0.0000000        0.0000000        0.0000000        0.0000000        0.9999996        1.0000000        1.0000000        1.0000000        
39.00            0                0                0                0                0                0                0                0                0.0000000        0.0000000        0.0000000        0.0000000        0.9999996        1.0000000        1.0000000        1.0000000        
39.25            0                0                0                0                0                0                0                0                0.0000000        0.0000000        0.0000000        0.0000000        0.9999996        1.0000000        1.0000000        1.0000000        
39.50            0                0                0                0                3                0                0                0                0.0000000        0.0000000        0.0000000        0.0000000        0.9999999        1.0000000        1.0000000        1.0000000        
39.75            0                0                0                0                0                0                0                0                0.0000000        0.0000000        0.0000000        0.0000000        0.9999999        1.0000000        1.0000000        1.0000000        
40.00            0                0                0                0                0                0                0                0                0.0000000        0.0000000        0.0000000        0.0000000        0.9999999        1.0000000        1.0000000        1.0000000        
40.25            0                0                0                0                1                0                0                0                0.0000000        0.0000000        0.0000000        0.0000000        1.0000000        1.0000000        1.0000000        1.0000000        
40.50            0                0                0                0                0                0                0                0                0.0000000        0.0000000        0.0000000        0.0000000        1.0000000        1.0000000        1.0000000        1.0000000        
